College Name,Branch Name,Cutoff Rank,City,OPEN Percentile,SC Percentile,ST Percentile,NT1 Percentile,OBC Percentile,EWS Percentile,TWFS Percentile
Indala Institute of Pharmacy,Pharmacy,7193,Kalyan,90.16,85.65,54.60,81.19,85.32,82.36,90.26
Lokmanya Tilak Institute of Pharmacy,Pharmacy,3965,Mumbai,94.01,85.88,80.73,89.11,92.38,90.54,95.16
Dnyandeep Shikshan Prasarak Mandal's Dnyandeep College of Pharmacy,Pharmacy,20854,Khed,74.75,67.46,49.88,69.10,71.58,62.48,84.57
Department of Pharmacutical Sciences R. T. M. Nagpur University,Pharmacy,497,Nagpur,98.88,98.52,92.81,96.77,98.72,98.56,99.40
Jay Mahakali Shikshan Sanstha's Agnihotri College of Pharmacy,Pharmacy,14381,Wardha,82.13,72.98,57.54,67.46,79.64,75.71,89.70
S.Patil Shikshan Sanstha's Smt. Kishoritai Bhoyar College of Pharmacy,Pharmacy,2847,Kamptee,95.37,91.82,61.17,90.06,94.39,91.25,97.25
Gondia Education Society Manohar Bhai Patel Institute of Pharmacy,Pharmacy,12860,Gondia,83.76,80.42,69.40,80.65,82.38,9.50,89.11
Guru Nanak College of Pharmacy,Pharmacy,6113,Nagpur,91.41,88.65,86.63,86.63,90.51,86.56,96.33
Bajiraoji Karanjakar College of Pharmacy,Pharmacy,16407,Bhandara,80.05,79.35,50.80,77.37,78.64,61.17,88.80
Ravi bahu Uddeshiya Shaikshanik Sanstha's Sonekar College of Pharmacy,Pharmacy,11643,Nagpur,85.21,82.98,39.43,84.70,84.63,75.01,92.15
Amar Seva Mandal's Kamla Nehru  College of  Pharmacy Butibori,Pharmacy,9831,Nagpur,87.06,85.43,71.90,84.63,86.55,69.35,94.67
Dadasaheb Balpande College of Pharmacy,Pharmacy,4665,Nagpur,93.15,89.69,73.41,90.02,92.38,88.60,96.04
Shri Sachhidanand Shikshan Sanstha Taivade College of Pharmacy,Pharmacy,10370,Nagpur,86.55,83.70,73.06,86.29,85.88,69.33,91.74
Late Meghraj Ojha Smriti Shikshan Sanstha's Shree Sainath College of  Pharmacy,Pharmacy,13009,Nagpur,83.56,82.38,15.49,50.97,82.33,43.11,89.55
Shree Tuljabhavani Sevabhavi Saikshanik & Samajik Sanstha Hi-Tech College of Pharmacy,Pharmacy,15696,Chandrapur,80.65,70.19,60.06,78.64,77.82,46.85,90.87
Mahila Vikas Sanstha Dr. R.G. Bhoyar Institute of Pharmaceutical Education & Research,Pharmacy,17963,Wardha,78.01,69.77,30.15,77.51,75.66,59.08,90.14
Shri Bhawabhuti Shikshan Sanstha's Shri Laxmanrao Mankar Institute Of Pharmacy,Pharmacy,28542,Amgoan,64.51,40.33,27.10,47.74,60.97,34.18,80.05
S.K.B.College of Pharmacy,Pharmacy,7897,Kamptee,89.39,83.36,69.35,81.86,87.39,63.29,93.38
Shri.Sadashivrao Patil Shikshan Sanstha's Anurag College Of Pharmacy,Pharmacy,15603,Bhandara,80.73,74.56,44.48,76.55,77.90,38.27,89.26
Backward Class Youth Relief Committee's Institute of D. Pharmacy,Pharmacy,15253,Nagpur,81.19,77.49,15.91,80.05,79.14,49.16,84.33
Jai Mahakali Shikshan Sanstha's Agnihotri Institute of Diploma in Pharmacy,Pharmacy,33534,Wardha,56.41,41.78,14.45,50.61,41.16,16.87,76.28
Bhausaheb Mulak Charitable Trust 'S Bhausaheb Mulak College Of D. Pharmacy,Pharmacy,23294,Nagpur,71.73,71.11,2.91,70.48,71.11,11.65,75.07
Abhinav Bahuuddeshiya's Siddhivinayak College Of Pharmacy Warora,Pharmacy,30547,Chandrapur,61.68,31.29,4.24,49.16,53.20,30.65,77.14
Young Engineers Education Society's Maharashtra Institute Of Pharmacy Betada Bramhapuri,Pharmacy,38684,Chandrapur,44.92,27.14,3.01,40.69,30.35,9.32,65.17
Sanmarg Shikshan Sanstha's K.R.Pandav Institute Of Pharmacy,Pharmacy,18023,Nagpur,77.90,77.14,1.43,73.83,77.29,22.94,89.96
Krushna Sahyogi Tantra Shikshan Sanstha's Chatrapati Shivaji College Of Pharmacy,Pharmacy,31642,Gondiya,59.64,53.96,49.04,60.13,45.96,8.74,72.98
Maharashtra Institute of Pharmacy,Pharmacy,32601,Brambhapuri,57.90,37.14,24.16,40.33,50.61,17.28,77.14
P.R.Patil Institute of Pharmacy Talegaon,Pharmacy,23673,Wardha,71.25,69.03,40.33,65.11,69.10,30.62,85.87
Mouda College of Pharmacy,Pharmacy,28424,Nagpur,64.55,59.40,61.85,52.43,66.33,52.43,78.77
Nagpur College Of Pharmacy,Pharmacy,9185,Hingana,87.89,82.46,57.90,84.94,85.34,61.83,92.37
